observation_date,PAYEMS_20091002,GDP_20090930
1/1/1947,43545.0,
2/1/1947,43563.0,
3/1/1947,43605.0,
4/1/1947,43491.0,240.4
5/1/1947,43637.0,
6/1/1947,43808.0,
7/1/1947,43742.0,244.5
8/1/1947,43958.0,
9/1/1947,44201.0,
10/1/1947,44415.0,254.3
11/1/1947,44486.0,
12/1/1947,44578.0,
1/1/1948,44686.0,260.3
2/1/1948,44537.0,
3/1/1948,44680.0,
4/1/1948,44369.0,267.3
5/1/1948,44795.0,
6/1/1948,45032.0,
7/1/1948,45160.0,273.8
8/1/1948,45175.0,
9/1/1948,45294.0,
10/1/1948,45250.0,275.1
11/1/1948,45194.0,
12/1/1948,45028.0,
1/1/1949,44675.0,269.9
2/1/1949,44500.0,
3/1/1949,44238.0,
4/1/1949,44230.0,266.2
5/1/1949,43982.0,
6/1/1949,43739.0,
7/1/1949,43530.0,267.6
8/1/1949,43621.0,
9/1/1949,43784.0,
10/1/1949,42950.0,265.2
11/1/1949,43244.0,
12/1/1949,43516.0,
1/1/1950,43530.0,275.2
2/1/1950,43298.0,
3/1/1950,43952.0,
4/1/1950,44376.0,284.5
5/1/1950,44717.0,
6/1/1950,45084.0,
7/1/1950,45453.0,301.9
8/1/1950,46187.0,
9/1/1950,46442.0,
10/1/1950,46712.0,313.3
11/1/1950,46778.0,
12/1/1950,46855.0,
1/1/1951,47289.0,329.0
2/1/1951,47577.0,
3/1/1951,47871.0,
4/1/1951,47856.0,336.6
5/1/1951,47952.0,
6/1/1951,48067.0,
7/1/1951,48061.0,343.5
8/1/1951,48008.0,
9/1/1951,47955.0,
10/1/1951,48009.0,347.9
11/1/1951,48149.0,
12/1/1951,48308.0,
1/1/1952,48299.0,351.2
2/1/1952,48522.0,
3/1/1952,48504.0,
4/1/1952,48616.0,352.1
5/1/1952,48645.0,
6/1/1952,48286.0,
7/1/1952,48144.0,358.5
8/1/1952,48922.0,
9/1/1952,49319.0,
10/1/1952,49598.0,371.4
11/1/1952,49816.0,
12/1/1952,50164.0,
1/1/1953,50145.0,378.4
2/1/1953,50339.0,
3/1/1953,50474.0,
4/1/1953,50432.0,382.0
5/1/1953,50491.0,
6/1/1953,50522.0,
7/1/1953,50536.0,381.1
8/1/1953,50487.0,
9/1/1953,50365.0,
10/1/1953,50242.0,375.9
11/1/1953,49906.0,
12/1/1953,49702.0,
1/1/1954,49467.0,375.2
2/1/1954,49381.0,
3/1/1954,49158.0,
4/1/1954,49177.0,376.0
5/1/1954,48965.0,
6/1/1954,48896.0,
7/1/1954,48834.0,380.8
8/1/1954,48825.0,
9/1/1954,48881.0,
10/1/1954,48944.0,389.4
11/1/1954,49179.0,
12/1/1954,49331.0,
1/1/1955,49497.0,402.6
2/1/1955,49644.0,
3/1/1955,49963.0,
4/1/1955,50246.0,410.9
5/1/1955,50512.0,
6/1/1955,50790.0,
7/1/1955,50985.0,419.4
8/1/1955,51112.0,
9/1/1955,51262.0,
10/1/1955,51431.0,426.0
11/1/1955,51592.0,
12/1/1955,51805.0,
1/1/1956,51975.0,428.3
2/1/1956,52167.0,
3/1/1956,52295.0,
4/1/1956,52375.0,434.2
5/1/1956,52506.0,
6/1/1956,52583.0,
7/1/1956,51954.0,439.2
8/1/1956,52632.0,
9/1/1956,52600.0,
10/1/1956,52781.0,448.1
11/1/1956,52822.0,
12/1/1956,52930.0,
1/1/1957,52888.0,457.2
2/1/1957,53098.0,
3/1/1957,53156.0,
4/1/1957,53238.0,459.2
5/1/1957,53149.0,
6/1/1957,53066.0,
7/1/1957,53122.0,466.4
8/1/1957,53128.0,
9/1/1957,52932.0,
10/1/1957,52765.0,461.5
11/1/1957,52557.0,
12/1/1957,52385.0,
1/1/1958,52077.0,453.9
2/1/1958,51576.0,
3/1/1958,51300.0,
4/1/1958,51026.0,458.0
5/1/1958,50913.0,
6/1/1958,50912.0,
7/1/1958,51037.0,471.7
8/1/1958,51233.0,
9/1/1958,51506.0,
10/1/1958,51485.0,485.0
11/1/1958,51943.0,
12/1/1958,52088.0,
